AA,2,1,,FOREST,,,,,
AB,2,1,,FOREST,,,,,
AC,2,1,,FOREST,,,,,
AD,5,1,,MARSH,,,,,
AE,5,1,,MARSH,,,,,
AF,2,1,,FOREST,,,,,
AG,2,1,,FOREST,,,,,
AH,7,2,T,WATER,,,,,
AI,7,2,T,WATER,,,,,,
AJ,2,2,,FOREST,,,,,,
AK,1,2,,PLAINS,,,,,,
AL,1,2,,PLAINS,,,,,,
AM,3,2,,MOUNTAINS,,,,,,
AN,3,2,,MOUNTAINS,,,,,,
AO,3,2,,MOUNTAINS,,,,,,
AP,7,2,T,WATER,,,,,,
AQ,7,2,T,WATER,,,,,,
AR,7,2,T,WATER,,,,,,
AS,1,2,,PLAINS,,,,,,
AT,3,3,,MOUNTAINS,,,,,,
AU,3,3,,MOUNTAINS,,,,,,
AV,3,3,,MOUNTAINS,,,,,,
AW,3,3,,MOUNTAINS,,,,,,
AX,3,3,,MOUNTAINS,,,,,,
AY,1,3,,PLAINS,,,,,,
AZ,1,3,,PLAINS,,,,,,
BA,2,1,,FOREST,,,,,,
BB,2,1,,FOREST,,,,,,
BC,2,1,,FOREST,,,,,,
BD,2,1,,FOREST,,,,,,
BE,2,1,,FOREST,,,,,,
BF,2,1,,FOREST,,,,,,
BG,2,1,,FOREST,,,,,,
BH,2,1,,FOREST,,,,,,
BI,7,2,T,WATER,,,,,,
BJ,2,2,,FOREST,,,,,,
BK,3,2,,MOUNTAINS,,,,,,
BL,1,2,,PLAINS,,,,,,
BM,1,2,,PLAINS,,,,,,
BN,7,2,T,WATER,,,,,,
BO,7,2,T,WATER,,,,,,
BP,1,2,,PLAINS,,,,,,
BQ,1,2,,PLAINS,,,,,,
BR,1,2,,PLAINS,,,,,,
BS,3,3,,MOUNTAINS,,,,,,
BT,3,3,,MOUNTAINS,,,,,,
BU,3,3,,MOUNTAINS,,,,,,
BV,3,3,,MOUNTAINS,,,,,,
BW,3,3,,MOUNTAINS,,,,,,
BX,3,3,,MOUNTAINS,,,,,,
BY,1,3,,PLAINS,,,,,,
BZ,1,3,,PLAINS,,,,,,
CA,7,1,M,WATER,,,,,,
CB,2,1,,FOREST,,,,,,
CC,2,1,,FOREST,,,,,,
CD,2,1,,FOREST,,,,,,
CE,2,1,,FOREST,,,,,,
CF,3,1,,MOUNTAINS,,,,,,
CG,3,1,,MOUNTAINS,,,,,,
CH,2,1,,FOREST,,,,,,
CI,7,2,T,WATER,,,,,,
CJ,2,2,,FOREST,,,,,,
CK,2,2,,FOREST,,,,,,
CL,1,2,,PLAINS,,,,,,
CM,5,2,,MARSH,,,,,,
CN,7,2,T,WATER,,,,,,
CO,7,2,T,WATER,,,,,,
CP,2,2,,FOREST,,,,,,
CQ,2,2,,FOREST,,,,,,
CR,1,2,,PLAINS,,,,,,
CS,1,3,,PLAINS,,,,,,
CT,3,3,,MOUNTAINS,,,,,,
CU,3,3,,MOUNTAINS,,,,,,
CV,3,3,,MOUNTAINS,,,,,,
CW,3,3,,MOUNTAINS,,,,,,
CX,1,3,,PLAINS,,,,,,
CY,1,3,,PLAINS,,,,,,
CZ,1,3,,PLAINS,,,,,,
DA,7,1,M,WATER,,,,,,
DB,2,1,,FOREST,,,,,,
DC,2,1,,FOREST,,,,,,
DD,2,1,,FOREST,,,,,,
DE,2,1,,FOREST,,,,,,
DF,2,1,,FOREST,,,,,,
DG,2,1,,FOREST,,,,,,
DH,2,1,,FOREST,,,,,,
